fiscal_year,fund_number,fund_name,cabinet_secretariat,department_code,department_name,appropriation_account_number,appropriation_account_name,beginning_balance,revenue_collected,transfer_in,transfer_out,total_available_for_spending,total_expenses,unexpended,balance_forward
2005,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,1091598.5,6727780,28107.88,111096.9,7736389.48,6349312.65,0,1387076.83
2005,0049,Registers Technological Fund,JUDICIARY,TRC,TRIAL COURT,05266601,REGISTERS TECHNOLOGICAL FUND,0,0,111096.9,28107.88,82989.02,82989.02,0,0
2006,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,1387076.83,6456365,0,0,7843441.83,5984551.18,0,1858890.65
2007,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,1858890.65,5469145,0,0,7328035.65,5968882.19,0,1359153.46
2008,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,1359153.46,4732130,0,0,6091283.46,5837207.83,0,254075.63
2009,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,254075.63,4597290,0,0,4851365.63,3339889.71,0,1511475.92
2010,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,1511475.92,4799885,0,0,6311360.92,3899364.51,0,2411996.41
2011,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,2411996.41,4785691,0,0,7197687.41,4788951.76,0,2408735.65
2012,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,2408735.65,4998915,0,0,7407650.65,4188567,0,3219083.65
2013,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,3219083.65,5572401,0,0,8791484.65,4381608.87,0,4409875.78
2014,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,4409875.78,4385660,0,0,8795535.78,6402561.35,0,2392974.43
2015,0049,Registers Technological Fund,EXECUTIVE OFFICE FOR ADMINSTRATION & FINANCE,DCP,CAPITAL ASSET MANAGEMENT and MAINTENANCE DIVISION,05266601,REGISTERS TECHNOLOGICAL FUND,0,0,164623.54,0,164623.54,163069.94,0,1553.6
2015,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,2392974.43,4335900,0,164623.54,6564250.89,5373574.62,0,1190676.27
2016,0049,Registers Technological Fund,EXECUTIVE OFFICE FOR ADMINSTRATION & FINANCE,DCP,CAPITAL ASSET MANAGEMENT and MAINTENANCE DIVISION,05266601,REGISTERS TECHNOLOGICAL FUND,1553.6,0,0,0,1553.6,1553.6,0,0
2016,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,1190676.27,4703125,0,0,5893801.27,4550121.49,0,1343679.78
2017,0049,Registers Technological Fund,EXECUTIVE OFFICE FOR ADMINSTRATION & FINANCE,DCP,CAPITAL ASSET MANAGEMENT and MAINTENANCE DIVISION,05266601,REGISTERS TECHNOLOGICAL FUND,0,0,0,0,0,0,0,0
2017,0049,Registers Technological Fund,SECRETARY OF STATE,SEC,SECRETARY OF STATE,05266601,REGISTERS TECHNOLOGICAL FUND,1343679.78,4904105,0,0,6247784.78,4480964.32,0,1766820.46
