Rank,Vendor,Total_Broad_Spending,Transaction_Count,Pct_of_Total,Cumulative_Pct,Years_Active,Object_Codes,Likely_Role
1,ADVANCED COMPUTER SERVICES INC,7764924.67,352,20.62,20.62,2010-2024,"J33, JJ2, K05, K06, L26, L46, U03, U05, U07, U09, U10",Scanning/Imaging
2,RUTTER NETWORKING TECHNOLOGIES,3398726.83,86,9.03,29.65,2010-2026,"U03, U07, U10",IT Equipment/Software
3,DSCI LLC,2676490.54,125,7.11,36.76,2015-2026,"U01, U07, U10",IT Equipment/Software
4,FUTURE TECHNOLOGIES GROUP LLC,2472173.72,120,6.57,43.32,2017-2026,"U03, U06, U07, U10",IT Equipment/Software
5,"APPLIED INTELLIGENCE TECHNOLOGIES, LLC",2292879.00,54,6.09,49.41,2010-2023,"J33, U05, U10",Scanning/Imaging
6,ACS ENTERPRISE SOLUTIONS INC,1856425.61,496,4.93,54.34,2010-2017,"E02, J33, JJ2, U03, U05, U07, U10",Scanning/Imaging
7,M & R CONSULTANTS CORPORATION,1702472.17,197,4.52,58.86,2019-2026,U05,IT Consulting/Staff
8,PEOPLESERVE PRS INC,1486071.48,271,3.95,62.81,2010-2019,U05,IT Consulting/Staff
9,FUTURE TECHNOLOGIES GROUP INC,1284284.09,82,3.41,66.22,2010-2017,"U01, U03, U06, U07, U10",IT Equipment/Software
10,NTT DATA INC,853645.04,195,2.27,68.49,2016-2022,U05,IT Consulting/Staff
11,DELL MARKETING LP,818337.81,84,2.17,70.66,2010-2026,"U03, U07, U10",IT Equipment/Software
12,T3NETWORKS INC,706196.94,25,1.88,72.54,2017-2025,"U05, U10",IT Consulting/Staff
13,RETROFIT INC,675315.81,129,1.79,74.33,2010-2016,"E02, U07, U10",IT Equipment/Software
14,SHI INTERNATIONAL CORP,650656.65,58,1.73,76.06,2013-2025,"U03, U07, U10",IT Equipment/Software
15,KEVIN R. HARVEY,472450.00,110,1.25,77.31,2016-2026,"H19, U05",IT Consulting/Staff
16,PRESIDIO NETWORKED SOLUTIONS INC,455686.68,17,1.21,78.52,2020-2021,"U07, U10",IT Equipment/Software
17,MISICOM INC,425131.37,46,1.13,79.65,2022-2026,U05,IT Consulting/Staff
18,PEOPLESERVE INC,416220.35,82,1.11,80.76,2019-2022,U05,IT Consulting/Staff
19,CONDUENT INCORPORATED,398820.00,19,1.06,81.82,2018-2019,U10,IT Equipment/Software
20,INSIGHT PUBLIC SECTOR INC,391918.78,36,1.04,82.86,2020-2025,"U03, U07, U10",IT Equipment/Software
21,BROWNTECH INC,382088.52,137,1.01,83.87,2010-2025,"U03, U05, U07, U10",IT Consulting/Staff
22,RETRO FIT TECHNOLOGIES INC,350040.41,55,0.93,84.80,2016-2026,"U07, U10",IT Equipment/Software
23,GOVERNMENT REVENUE SOL HOLD I LLC,344209.50,25,0.91,85.72,2021-2026,"J33, U10",Scanning/Imaging
24,CARAHSOFT TECHNOLOGY CORPORATION,318899.30,8,0.85,86.56,2020-2025,"U03, U10",IT Equipment/Software
25,PRESIDIO NETWORKED SOLUTIONS LLC,310174.72,6,0.82,87.39,2022-2026,"U03, U10",IT Equipment/Software
26,WHALLEY COMPUTER ASSOCIATES INC.,283422.31,7,0.75,88.14,2023-2026,"U07, U10",IT Equipment/Software
27,EASTERN MICROGRAPHICS INC,278765.53,83,0.74,88.88,2010-2025,"J33, JJ2, K06",Scanning/Imaging
28,EMC CORPORATION,253958.43,18,0.67,89.56,2010-2020,"U07, U10",IT Equipment/Software
29,PERATON STATE & LOCAL,236904.13,4,0.63,90.19,2023-2025,"U07, U10",IT Equipment/Software
30,TEK SYSTEMS INC,234395.78,56,0.62,90.81,2018-2026,U05,IT Consulting/Staff
31,IMAGE TEK,228936.10,42,0.61,91.42,2016-2026,"E02, K06, L46, U07, U10",Scanning/Imaging
32,ENTERPRISE SERVICES LLC,219130.00,15,0.58,92.00,2017-2019,U05,IT Consulting/Staff
33,HEWLETT-PACKARD CO,197381.00,7,0.52,92.52,2011-2014,U07,IT Equipment/Software
34,"BIZTECH SOLUTIONS, INC.",160698.95,8,0.43,92.95,2010-2017,"L46, U07, U10",Scanning/Imaging
35,TOWN BOOKBINDERY INC,150121.90,13,0.40,93.35,2010-2016,J33,Scanning/Imaging
36,COMCAST CORPORATION,149526.86,411,0.40,93.74,2020-2023,"U01, U10",IT Equipment/Software
37,COMCAST CABLE COMMUNICATION MGMT LLC,139569.44,439,0.37,94.12,2020-2026,"U01, U10",IT Equipment/Software
38,PROCONVERSIONS CORPORATION,134184.35,13,0.36,94.47,2014-2024,"U07, U10",IT Equipment/Software
39,"AVENU INSIGHTS & ANALYTICS, LLC",119930.10,17,0.32,94.79,2020-2021,"J33, U03, U10",Scanning/Imaging
40,AVID TECHNICAL RESOURCES,110800.00,29,0.29,95.08,2016-2026,U05,IT Consulting/Staff
41,TALENTBURST INC,109241.40,28,0.29,95.37,2024-2026,U05,IT Consulting/Staff
42,IRON MOUNTAIN INC,84383.52,22,0.22,95.60,2016-2023,"J33, JJ2",Scanning/Imaging
43,RETRIEVEX INC,83881.38,35,0.22,95.82,2014-2018,"J33, JJ2",Scanning/Imaging
44,DATABANK IMX LLC,83586.53,35,0.22,96.04,2010-2016,"E02, J33, L46, U07, U10",Scanning/Imaging
45,RETRIEVEX HOLDINGS CORP,76845.96,35,0.20,96.25,2019-2023,JJ2,Auxiliary Services
46,HUB TECHNICAL SERVICES  LLC,67389.75,7,0.18,96.43,2017-2021,"K06, U07",Scanning/Imaging
